Applicant ID,Division,Gender,Hired
1,D,Male,Y
2,B,Male,Y
3,F,Male,N
4,B,Male,Y
5,F,Female,N
6,D,Male,N
7,C,Female,N
8,A,Male,Y
9,C,Female,Y
10,F,Female,N
11,F,Female,N
12,C,Female,N
13,C,Female,Y
14,A,Male,Y
15,D,Male,N
16,E,Male,N
17,C,Female,N
18,E,Female,N
19,B,Male,Y
20,C,Female,Y
21,A,Male,N
22,D,Female,N
23,C,Male,N
24,C,Male,N
25,A,Male,Y
26,E,Female,Y
27,B,Male,Y
28,B,Male,Y
29,D,Male,N
30,C,Male,N
31,A,Female,Y
32,B,Male,Y
33,D,Male,Y
34,B,Male,N
35,A,Male,Y
36,C,Female,N
37,A,Male,Y
38,F,Female,N
39,F,Female,N
40,F,Male,Y
41,A,Male,Y
42,B,Male,N
43,F,Female,N
44,B,Male,N
45,D,Male,N
46,A,Male,N
47,F,Male,N
48,A,Male,N
49,C,Female,Y
50,C,Male,N
51,A,Male,Y
52,C,Female,N
53,A,Female,Y
54,B,Male,N
55,C,Male,Y
56,E,Female,N
57,E,Female,Y
58,F,Male,N
59,F,Female,N
60,E,Male,N
61,D,Male,N
62,E,Male,N
63,A,Male,Y
64,F,Male,N
65,A,Male,N
66,F,Male,N
67,F,Male,N
68,B,Male,Y
69,C,Female,Y
70,A,Male,Y
71,C,Female,Y
72,D,Female,N
73,E,Female,Y
74,D,Male,Y
75,C,Male,N
76,B,Male,Y
77,F,Male,N
78,E,Female,N
79,D,Male,N
80,F,Female,N
81,D,Female,Y
82,C,Female,N
83,F,Male,N
84,F,Male,N
85,B,Male,Y
86,B,Male,N
87,E,Male,Y
88,A,Male,N
89,A,Male,N
90,F,Male,N
91,D,Male,Y
92,B,Male,N
93,C,Female,N
94,E,Female,Y
95,B,Male,Y
96,B,Male,N
97,C,Male,Y
98,D,Male,N
99,C,Male,N
100,B,Male,Y
101,B,Male,Y
102,A,Male,Y
103,C,Female,N
104,B,Male,N
105,D,Male,Y
106,D,Female,N
107,B,Male,Y
108,F,Female,N
109,C,Female,Y
110,D,Female,N
111,F,Male,N
112,F,Male,N
113,C,Male,Y
114,D,Male,N
115,A,Male,Y
116,D,Male,N
117,E,Female,N
118,E,Female,N
119,E,Female,Y
120,C,Male,Y
121,A,Female,Y
122,E,Male,Y
123,D,Male,N
124,C,Female,Y
125,B,Male,N
126,A,Male,N
127,C,Male,N
128,C,Female,Y
129,C,Male,Y
130,A,Male,N
131,A,Male,Y
132,E,Male,N
133,C,Female,Y
134,F,Female,N
135,E,Female,N
136,B,Male,Y
137,D,Female,Y
138,D,Male,Y
139,A,Male,Y
140,D,Male,N
141,B,Male,Y
142,B,Male,Y
143,C,Female,N
144,E,Male,Y
145,F,Male,N
146,A,Male,Y
147,C,Female,N
148,B,Male,N
149,A,Male,N
150,A,Male,Y
151,A,Male,N
152,A,Male,Y
153,E,Male,Y
154,E,Female,N
155,E,Female,N
156,C,Female,N
157,C,Male,Y
158,E,Female,N
159,E,Female,Y
160,C,Male,Y
161,D,Male,N
162,F,Male,N
163,A,Male,N
164,A,Female,Y
165,C,Female,N
166,E,Female,N
167,C,Male,N
168,F,Female,N
169,C,Male,N
170,C,Female,N
171,B,Male,N
172,A,Male,Y
173,A,Male,N
174,A,Male,Y
175,E,Male,Y
176,E,Female,Y
177,A,Female,Y
178,C,Female,Y
179,C,Female,Y
180,D,Male,N
181,C,Male,N
182,A,Male,Y
183,C,Female,Y
184,C,Female,Y
185,F,Female,N
186,E,Female,Y
187,D,Male,N
188,B,Male,Y
189,B,Male,Y
190,C,Female,N
191,B,Male,Y
192,A,Male,Y
193,B,Male,Y
194,D,Female,N
195,E,Female,N
196,C,Male,Y
197,E,Male,N
198,E,Female,Y
199,B,Male,N
200,C,Female,Y
201,A,Male,N
202,C,Male,N
203,D,Male,N
204,F,Female,N
205,C,Male,N
206,C,Female,N
207,F,Male,N
208,D,Female,N
209,A,Male,N
210,E,Female,N
211,F,Male,N
212,B,Male,N
213,D,Male,N
214,C,Male,Y
215,B,Male,Y
216,F,Female,N
217,D,Male,N
218,D,Female,N
219,E,Female,Y
220,C,Male,Y
221,C,Male,Y
222,B,Male,N
223,E,Female,N
224,D,Male,N
225,D,Female,N
226,A,Female,Y
227,D,Male,N
228,B,Male,Y
229,A,Male,N
